,0
0,0.056614295
1,-0.01717941
2,-0.041872494
3,-0.029032594
4,-0.025332749
5,0.065433756
6,-0.08271538
7,-0.093867615
8,0.027121706
9,0.0040581967
10,0.028030274
11,-0.02767221
12,-0.028495397
13,0.056429077
14,-0.024361826
15,-0.0020122866
16,-0.00012819041
17,-0.0473277
18,-0.008956831
19,0.023448525
20,0.0048923544
21,-0.02712945
22,-0.014084771
23,0.0039579696
24,0.03573718
25,0.058687612
26,0.05916171
27,-0.010292283
28,0.07248677
29,0.0078065344
30,-0.0031393336
31,0.024225751
32,-0.04249085
33,-0.04292582
34,0.053126257
35,0.09855016
36,-0.026757304
37,0.005387882
38,0.122865275
39,-0.014076769
40,-0.07181509
41,0.13669191
42,0.1306629
43,0.0057501798
44,0.04702862
45,-0.04710895
46,-0.015122397
47,-0.018136207
48,-0.036061436
49,0.021646826
50,0.037561253
51,-0.015445266
52,-0.00973202
53,0.021749962
54,-0.03200428
55,0.039342817
56,-0.020729393
57,-0.068060756
58,0.029106956
59,0.029219646
60,0.014220736
61,0.0915533
62,0.12259152
63,-0.029827155
64,-0.06681961
65,0.07537671
66,-0.15431656
67,0.011469299
68,0.040626884
69,0.005928377
70,-0.035699718
71,0.044113677
72,-0.0772242
73,-0.040553007
74,-0.055444147
75,-0.009065329
76,0.07880596
77,-0.034201827
78,0.002714518
79,0.060666353
80,-0.063601345
81,0.027535498
82,-0.053321596
83,0.10208473
84,0.033952743
85,0.02097459
86,-0.07948598
87,-0.07451096
88,0.016995206
89,-0.020271404
90,0.025745315
91,-0.09477453
92,-0.019027513
93,0.01945268
94,-0.006814873
95,0.023924384
96,0.08175375
97,0.06050381
98,-0.027456518
99,0.018046035
100,-0.04352054
101,-0.010861683
102,-0.054509014
103,0.023883393
104,0.020554515
105,-0.0006398045
106,-0.0353309
107,-0.019519543
108,-0.03485466
109,-0.039901026
110,-0.05058515
111,0.01707948
112,-0.10450503
113,0.0021636288
114,0.0044125887
115,-0.031141233
116,-0.0028655953
117,0.03226764
118,-0.03898005
119,0.07349587
120,0.058877863
121,0.020036248
122,0.005168391
123,0.039018184
124,0.023017418
125,-0.008976304
126,-0.108360276
127,0.07247123
128,-0.02906129
129,0.013373658
130,0.0009806389
131,-0.031549025
132,0.05750601
133,0.020562304
134,-0.014702242
135,-0.013175954
136,0.021981914
137,-0.085720964
138,-0.022972472
139,0.0038325083
140,0.03519962
141,-0.04652985
142,0.015823606
143,0.024102932
144,-0.011992976
145,0.053144373
146,-0.019920178
147,0.008833724
148,0.10590836
149,0.05028319
150,0.055217013
151,0.008384325
152,0.011584114
153,-0.008059466
154,-0.112899914
155,0.02566943
156,0.016007207
157,-0.06294926
158,0.09673716
159,-0.05029066
160,0.03016305
161,-0.07378227
162,0.009921057
163,0.020468602
164,0.012177496
165,0.0076356637
166,0.017569507
167,0.0010931098
168,-0.010577796
169,-0.030423252
170,-0.007905491
171,-0.043086763
172,0.006587216
173,-0.053913437
174,-0.019235874
175,0.013184165
176,0.055905804
177,0.030895563
178,-0.068585075
179,-0.046490543
180,0.039382517
181,0.010043951
182,-0.009091988
183,-0.09706544
184,-0.07257335
185,-0.02723757
186,0.005795761
187,-0.01939565
188,0.057763766
189,-0.050849024
190,0.01906809
191,-0.087797925
192,0.1406523
193,0.057951286
194,0.030974679
195,-0.384053
196,0.01982026
197,0.07982804
198,-0.015590877
199,-0.011683006
200,0.029958244
201,-0.06984862
202,0.02811396
203,0.007028758
204,-0.20220175
205,-0.008813442
206,-0.006075612
207,-0.064255275
208,0.10209294
209,-0.0048690583
210,-0.08540306
211,0.024773223
212,-0.07427548
213,-0.0017448575
214,0.025232866
215,-0.012829521
216,0.024388725
217,-0.0044564507
218,0.028170539
219,-0.04365655
220,0.0038781606
221,0.0002155303
222,0.040543836
223,-0.023275437
224,0.025945304
225,0.02691028
226,-0.049832124
227,0.025515951
228,-0.05372319
229,-0.030388262
230,0.011086719
231,0.06709683
232,-0.0676619
233,0.05743978
234,-0.010463937
235,-0.01083813
236,0.009844444
237,0.03131584
238,0.045493502
239,-0.011295069
240,-0.035766587
241,0.029199915
242,0.078483045
243,0.016055575
244,0.0052200635
245,0.020290496
246,0.0060861143
247,-0.018443221
248,-0.040090255
249,-0.08448376
250,0.014527482
251,-0.005072414
252,-0.08886004
253,0.07297253
254,0.06857237
255,-0.015458871
256,0.013787154
257,0.07450347
258,0.01373101
259,0.028708968
260,0.15562348
261,0.0031409587
262,0.053905737
263,-0.068077214
264,0.053120714
265,0.012106547
266,0.012976479
267,-0.019667715
268,0.16490537
269,-0.044622038
270,-0.001951998
271,0.12499774
272,0.012541006
273,-0.00034772095
274,0.024520963
275,-0.03668723
276,-0.103156626
277,-0.05667394
278,-0.009387084
279,-0.117055394
280,0.08058292
281,0.045883175
282,0.046382405
283,0.08407517
284,0.10073168
285,0.055002853
286,-0.025806943
287,0.0089943595
288,-0.04671116
289,0.13241357
290,0.015879592
291,0.048794936
292,0.002996776
293,0.017603217
294,0.013305256
295,0.101614326
296,0.06278356
297,0.016764104
298,-0.058460526
299,0.03286248
300,-0.031846486
301,-0.06881661
302,0.089628115
303,-0.019324351
304,0.00019045897
305,0.02717984
306,-0.024347672
307,-0.000514112
308,-0.004222061
309,-0.0037932459
310,-0.009546953
311,-0.09059808
